Student_Names,Math,Physics,Chemistry,Grade,Comment,Roll No.
Steven Francis,89,58,84,B+,Good Pursuance,558053
Vanessa Gay,13,74,69,C,Below Average Achivement,509158
Alan Kerr,32,32,51,D,Poor Pursuance,574250
Michael Hawkins,94,20,99,B+,Good Pursuance,557783
Jennifer Anderson,80,55,76,B,Average Performance,588498
Christina Hogan,36,13,71,D,Poor Pursuance,559949
David Morrow,55,44,47,D,Poor Pursuance,570438
Miguel Anderson,10,50,35,F,Failed,598167
Carol Gonzalez,53,65,34,D,Poor Pursuance,540102
Edward Estrada,76,64,59,B,Average Performance,530991
Marc Fisher,12,41,62,D,Poor Pursuance,525233
Zachary Wilson,15,44,51,D,Poor Pursuance,579065
Richard Keith,60,61,23,D,Poor Pursuance,560282
Chris Coffey,24,58,66,D,Poor Pursuance,572874
Jonathan Smith,37,38,20,F,Failed,579371
Matthew Singh,76,72,44,B,Average Performance,574154
Joseph Vasquez,60,58,62,C,Below Average Achivement,529155
Melissa White,43,21,15,F,Failed,577261
Hannah Hess,51,60,63,C,Below Average Achivement,524584
Sheila Thomas,36,97,64,B,Average Performance,548371
Larry Reed,35,95,38,C,Below Average Achivement,565919
William Valentine,11,35,59,D,Poor Pursuance,578416
Matthew Dunn,84,94,52,B+,Good Pursuance,527116
Ashley Sutton,77,86,42,B,Average Performance,550258
Jennifer Gould,47,81,82,B,Average Performance,513323
Ricky Allen,20,59,96,C,Below Average Achivement,591973
Kyle James,78,90,100,A,Very Good Achivement,546858
Carla Cox,64,22,74,C,Below Average Achivement,593207
Zachary Price,14,97,64,C,Below Average Achivement,585529
Donna Smith,87,23,64,C,Below Average Achivement,599937
Leonard Thomas,20,24,40,F,Failed,540403
Rhonda Garcia,20,69,71,C,Below Average Achivement,534919
Brenda Phillips,14,44,98,C,Below Average Achivement,510017
Lauren Carlson,39,78,18,D,Poor Pursuance,500783
Steven Oliver,65,35,19,D,Poor Pursuance,560208
Jason Perez,76,12,10,F,Failed,569599
Caitlin Noble,94,81,22,B,Average Performance,532309
Mrs. Brittany Garcia,10,71,69,D,Poor Pursuance,549703
Mary Ryan,31,57,79,C,Below Average Achivement,520496
Lee Hernandez,47,64,17,D,Poor Pursuance,573568
Patrick Barnes,69,51,41,C,Below Average Achivement,588728
Christina Griffin,23,97,92,B,Average Performance,572862
Michelle Dudley,92,39,94,B+,Good Pursuance,518943
Priscilla Gonzales,81,27,52,C,Below Average Achivement,511543
Dennis Hughes,95,23,71,B,Average Performance,504572
Allen Harris,69,77,89,B+,Good Pursuance,526779
Scott Simpson,47,90,45,C,Below Average Achivement,566970
Phillip Cortez,40,66,29,D,Poor Pursuance,565059
Morgan Brennan,100,57,86,A,Very Good Achivement,515123
Micheal Rodriguez DDS,45,75,37,C,Below Average Achivement,518905
Neil Chavez,22,91,47,C,Below Average Achivement,527410
Ian Holmes,38,77,61,C,Below Average Achivement,517326
Vanessa Rodriguez,86,15,89,B,Average Performance,516263
Marissa Ortiz,85,14,100,B,Average Performance,505390
James Valenzuela,33,46,17,F,Failed,532947
David Russell,30,51,44,D,Poor Pursuance,514994
Sheena Jones,24,87,57,C,Below Average Achivement,559870
Kelly Young,16,56,45,D,Poor Pursuance,536260
Jessica Kramer,75,57,23,C,Below Average Achivement,568383
Erik Walter,79,45,94,B+,Good Pursuance,545826
Jenna Fletcher,84,88,46,B+,Good Pursuance,501177
Brian Turner,37,65,56,C,Below Average Achivement,501025
Kelly Jones,77,38,76,B,Average Performance,578747
Nicole Bowman,16,23,55,F,Failed,549968
Phillip Mullins,17,37,37,F,Failed,543420
Laura Newton,55,35,80,C,Below Average Achivement,589581
Ronald Bonilla PhD,58,86,69,B+,Good Pursuance,552906
Erica Parker,56,68,91,B+,Good Pursuance,507659
Stephen Gardner,50,39,63,D,Poor Pursuance,575279
Matthew Perez,62,80,43,B,Average Performance,566367
Jeffrey Smith,51,20,20,F,Failed,549617
Andrew Acevedo,31,20,46,F,Failed,546418
Amanda Jimenez,20,68,57,D,Poor Pursuance,538335
Grant Massey,16,90,44,D,Poor Pursuance,538679
Danny Thomas,32,57,93,C,Below Average Achivement,545568
Ashley Carroll,15,19,81,D,Poor Pursuance,566928
Brooke Murphy,37,57,12,D,Poor Pursuance,580816
Benjamin Romero,29,95,19,D,Poor Pursuance,525616
Charles Sanders,98,56,44,B,Average Performance,596381
Isaiah Carter,11,24,14,F,Failed,526446
Marie White,49,58,10,D,Poor Pursuance,550774
Nancy Wilson,45,57,14,D,Poor Pursuance,572349
Michael Hale,91,13,81,B,Average Performance,526389
Michael Armstrong,62,34,84,C,Below Average Achivement,544529
Tyrone Grimes,52,78,93,B+,Good Pursuance,528550
Michael Mccann,92,73,79,A,Very Good Achivement,533181
Steven Russo,28,54,74,C,Below Average Achivement,565780
Peter Fox,39,78,80,B,Average Performance,566488
Emily Martinez,22,18,88,D,Poor Pursuance,572042
Joseph Sandoval,92,87,43,B+,Good Pursuance,542997
Julia Adams,82,45,46,C,Below Average Achivement,582874
Molly Osborn,21,25,85,D,Poor Pursuance,516267
Joshua Rodriguez,63,53,67,B,Average Performance,584388
Natalie Haley,83,58,79,B+,Good Pursuance,540281
Matthew Lamb,33,12,78,D,Poor Pursuance,551603
Jacqueline Wong,58,61,93,B,Average Performance,534434
Timothy Schwartz,15,76,10,D,Poor Pursuance,539306
Amy Richardson,93,87,77,A,Very Good Achivement,593315
Bryan Daniel,72,20,86,C,Below Average Achivement,563928
Brandy Martin,47,30,48,D,Poor Pursuance,512154
Isaac Faulkner,86,43,79,B,Average Performance,595713
Scott Hill,47,23,43,D,Poor Pursuance,567966
Ashley Jenkins,59,29,17,D,Poor Pursuance,528075
Jason Acevedo,35,71,20,D,Poor Pursuance,503861
Clifford Brown,37,33,60,D,Poor Pursuance,574995
Scott Rivera,29,25,25,F,Failed,573610
Danielle Baker,13,69,70,D,Poor Pursuance,501416
Jonathan Carpenter,99,17,62,C,Below Average Achivement,572899
Rachel Glenn,56,42,88,B,Average Performance,574944
Tanya Martinez,98,36,80,B+,Good Pursuance,564287
Tara Simpson,36,54,54,D,Poor Pursuance,508175
William Davis,70,91,15,C,Below Average Achivement,575222
Joseph Ortiz,76,41,46,C,Below Average Achivement,572114
Abigail Combs,12,51,31,F,Failed,570152
Steven Miller,56,17,54,D,Poor Pursuance,507370
Bryan Hayes,100,50,11,C,Below Average Achivement,525708
Scott Cowan,62,61,54,C,Below Average Achivement,586186
Michael Brooks,85,66,61,B,Average Performance,557540
Mrs. Julie Sanchez,23,34,87,D,Poor Pursuance,581781
Thomas Hinton,85,58,90,B+,Good Pursuance,587235
Jake Murphy,31,54,19,D,Poor Pursuance,590391
Evelyn Mueller MD,26,72,88,B,Average Performance,509108
Melissa Lawson,54,19,33,D,Poor Pursuance,540693
Ms. Mary Vincent DVM,87,56,69,B,Average Performance,591663
Sharon Dickerson,80,66,99,A,Very Good Achivement,597516
Bruce Gardner,43,98,85,B+,Good Pursuance,531591
Abigail Porter,42,89,85,B+,Good Pursuance,595465
Christina Vargas,24,88,29,D,Poor Pursuance,595852
John Henderson,55,96,92,A,Very Good Achivement,579668
James Doyle,65,40,40,D,Poor Pursuance,535717
Yvette Forbes,57,90,70,B+,Good Pursuance,574531
Mr. Travis Williams,40,46,56,D,Poor Pursuance,563357
Regina Butler,61,40,91,B,Average Performance,596665
David Yu,60,47,80,B,Average Performance,563565
Michael Robinson,66,72,95,B+,Good Pursuance,566831
Lance Perez,24,97,24,D,Poor Pursuance,576952
Leonard Flores,43,66,71,C,Below Average Achivement,507009
Sergio Cross,26,61,27,D,Poor Pursuance,500563
Anita Davis,98,78,20,B,Average Performance,594568
Nathan Torres DVM,44,40,86,C,Below Average Achivement,539865
Kimberly Walker,64,77,22,C,Below Average Achivement,564145
Wendy Flores,79,46,46,C,Below Average Achivement,585167
Christina Moore,74,12,24,D,Poor Pursuance,576271
Sharon Oconnor,36,35,70,D,Poor Pursuance,575892
Kelly Marshall,68,92,63,B+,Good Pursuance,524530
Jonathan Green,38,58,79,C,Below Average Achivement,599670
Kevin Simmons,47,39,10,F,Failed,518177
Theresa Stephenson,74,94,88,A,Very Good Achivement,562304
Tammy Green,68,79,86,B+,Good Pursuance,592481
Karen Cohen,100,20,39,C,Below Average Achivement,515057
Matthew Morgan,91,11,12,D,Poor Pursuance,509326
Ryan Wilson,93,28,65,B,Average Performance,508963
Michelle Taylor,87,41,57,B,Average Performance,559558
Douglas Phillips,30,18,20,F,Failed,597267
Ashley Black,55,79,96,B+,Good Pursuance,550362
Theodore Hooper,66,35,85,B,Average Performance,545409
Michael Becker,81,74,69,B+,Good Pursuance,590915
Victoria Aguirre,32,91,18,D,Poor Pursuance,507781
Brian Evans,87,66,98,A,Very Good Achivement,573034
Michael Garcia,82,25,84,B,Average Performance,542338
Stephanie Johnson,12,49,11,F,Failed,569718
Tracy Freeman,72,47,70,B,Average Performance,535231
Tammy Smith,35,63,77,C,Below Average Achivement,579904
Anthony Phillips,13,71,20,D,Poor Pursuance,592412
Megan Blackwell,19,90,87,B,Average Performance,544667
Miguel Thomas,41,97,35,C,Below Average Achivement,514346
Michael Bender,73,64,72,B,Average Performance,546247
Angelica Mayer,64,36,88,B,Average Performance,537148
Sean Howard,37,22,100,C,Below Average Achivement,533741
Eric Hull,50,25,57,D,Poor Pursuance,514043
Adrienne Peterson,30,95,68,B,Average Performance,509047
Joseph Grant,47,55,37,D,Poor Pursuance,569356
Denise Wallace,30,32,26,F,Failed,579906
Alicia Shah,98,89,54,B+,Good Pursuance,597650
Vincent Flores,37,77,47,C,Below Average Achivement,511661
Katherine Stewart,21,41,18,F,Failed,576839
Ashley Smith,68,16,15,D,Poor Pursuance,525143
Kristen Johnson,95,46,95,B+,Good Pursuance,544863
Rebecca White,84,94,41,B+,Good Pursuance,569052
Brian Gibson,50,95,67,B,Average Performance,515454
Deborah Hodges,53,56,91,B,Average Performance,555810
Robert Salazar,53,49,84,B,Average Performance,581607
Anthony Becker,41,61,44,D,Poor Pursuance,503058
Andrew Underwood,18,88,49,C,Below Average Achivement,531851
Teresa Grant,19,18,70,D,Poor Pursuance,537100
Sherry Jones,89,48,15,D,Poor Pursuance,596167
Ms. Lisa George,63,60,37,C,Below Average Achivement,551587
Jackson Thomas,72,67,76,B+,Good Pursuance,590060
Mark Anderson,74,38,52,C,Below Average Achivement,508345
Antonio Ryan,41,74,28,D,Poor Pursuance,590897
John Edwards,38,20,32,F,Failed,506166
Kimberly Kim,89,90,33,B,Average Performance,561872
Christopher Browning,43,97,11,D,Poor Pursuance,523080
Lawrence Lee,72,61,29,C,Below Average Achivement,575576
Scott Obrien,46,28,70,D,Poor Pursuance,589096
Laura Mata,98,23,77,B,Average Performance,598761
Adrienne Duran,18,97,29,D,Poor Pursuance,513262
Jennifer Rice,29,42,66,D,Poor Pursuance,506695
Joseph Ramos,46,81,55,C,Below Average Achivement,505087
Melissa Davis,22,47,48,D,Poor Pursuance,528624
Kimberly Brown,23,28,11,F,Failed,588548
Ashley Ward,50,37,26,D,Poor Pursuance,535195
Curtis Williams,25,96,79,B,Average Performance,573504
Tracy Porter,78,27,34,D,Poor Pursuance,564425
James Mejia,32,54,95,C,Below Average Achivement,572130
John Boyd,19,41,94,C,Below Average Achivement,562077
Bradley Anthony,54,51,62,C,Below Average Achivement,546326
Richard Haynes,70,66,54,B,Average Performance,569141
Ashley Freeman,20,97,69,B,Average Performance,572658
Ashley Rich,72,62,93,B+,Good Pursuance,544377
Colin Hogan,21,75,13,D,Poor Pursuance,558629
Ryan Rosales,11,59,59,D,Poor Pursuance,564832
Joshua Garrett,43,80,85,B,Average Performance,510727
Carrie Smith,51,18,89,C,Below Average Achivement,575628
James Clark,10,80,100,B,Average Performance,511026
Hunter Freeman,100,81,94,A+,Excellent Performance,556123
Brad Stein,48,93,17,C,Below Average Achivement,560344
Courtney Bryant,10,25,78,D,Poor Pursuance,573451
Terry Wright,39,94,20,C,Below Average Achivement,548826
Paul Mcgee,80,47,91,B+,Good Pursuance,536673
Andrea Russo,35,58,29,D,Poor Pursuance,532487
Timothy Bruce,84,55,54,B,Average Performance,582711
Misty Santiago,60,85,10,C,Below Average Achivement,578632
John Alexander,76,99,70,A,Very Good Achivement,528080
Kristine Caldwell,21,86,28,D,Poor Pursuance,532674
Paul Arroyo,33,56,17,D,Poor Pursuance,505606
Brittany Roth,67,59,10,D,Poor Pursuance,598043
Yvonne Salas,87,76,55,B+,Good Pursuance,567159
Albert Murray,24,83,60,C,Below Average Achivement,592437
Janice Salazar,23,12,23,F,Failed,530033
Mrs. Jessica Roberts,26,59,93,C,Below Average Achivement,555274
Christopher Collins,72,76,38,B,Average Performance,581903
Tracey Conway,80,97,84,A,Very Good Achivement,535468
Peter Scott,90,88,92,A,Very Good Achivement,572390
Pamela Allen,11,40,11,F,Failed,530810
Amber Parsons,10,81,57,D,Poor Pursuance,587271
Jamie Howell,17,53,93,C,Below Average Achivement,587290
James Raymond,62,16,86,C,Below Average Achivement,565170
Rachel Zhang,22,69,93,B,Average Performance,501192
Mark Guzman,79,47,64,B,Average Performance,588929
Joseph Deleon,31,97,46,C,Below Average Achivement,559517
Mrs. Teresa Wood,23,31,35,F,Failed,586676
James Ward,59,30,12,D,Poor Pursuance,562230
Heather Evans,39,67,54,C,Below Average Achivement,597484
Richard Lucas,84,39,38,C,Below Average Achivement,571355
April Cox,43,29,19,F,Failed,562263
Marissa Preston,95,86,32,B+,Good Pursuance,549325
Michelle Kerr,80,22,17,D,Poor Pursuance,544736
Richard Franco,98,94,42,B+,Good Pursuance,582894
Nancy Lyons,47,11,36,F,Failed,561791
Dr. Ellen Galvan,31,30,56,D,Poor Pursuance,580091
Sarah Campbell,65,79,26,C,Below Average Achivement,510653
Julie Poole MD,52,54,39,D,Poor Pursuance,578028
Brad Smith,79,79,77,B+,Good Pursuance,505551
Amy Mitchell,35,35,31,D,Poor Pursuance,563923
Noah Osborne,32,58,18,D,Poor Pursuance,508562
Amanda Hernandez,47,63,92,B,Average Performance,505672
Steven Winters,77,100,38,B+,Good Pursuance,598044
Brandon Ruiz,25,89,30,D,Poor Pursuance,582587
Kevin Hernandez Jr.,100,20,88,B,Average Performance,535033
Brandon Smith,87,84,73,A,Very Good Achivement,542586
Anthony Harrison,82,77,21,C,Below Average Achivement,517535
Patrick Frye,58,45,41,D,Poor Pursuance,520769
Mrs. Katherine Sanchez,63,12,65,D,Poor Pursuance,509370
Teresa Martin,38,16,66,D,Poor Pursuance,541816
Stephanie Copeland,67,38,14,D,Poor Pursuance,592404
Amanda Terrell,44,93,94,B+,Good Pursuance,594497
Sara Schroeder,30,60,35,D,Poor Pursuance,509065
Henry Kelley,78,98,32,B,Average Performance,502732
Zachary Anderson,59,83,92,B+,Good Pursuance,573372
Micheal Villegas,38,67,56,C,Below Average Achivement,547430
Adriana Williams,16,68,17,D,Poor Pursuance,502522
Heather Evans,18,55,76,D,Poor Pursuance,577013
Lance Sanders,40,80,62,C,Below Average Achivement,555884
Deanna Smith,25,89,36,D,Poor Pursuance,570178
Rebecca Boyer,68,38,28,D,Poor Pursuance,563270
John Evans,89,68,43,B,Average Performance,581147
Darlene Collins,17,21,24,F,Failed,504172
James Grant,59,30,15,D,Poor Pursuance,501085
Annette Stephens,99,66,95,A,Very Good Achivement,577923
Yolanda Barnes,41,21,70,D,Poor Pursuance,515983
Belinda Houston,93,67,27,B,Average Performance,560837
Curtis Flores,32,49,13,F,Failed,572894
Jessica Robertson,40,20,66,D,Poor Pursuance,596105
Rachael Young,93,88,12,B,Average Performance,579242
Jose Pugh,53,91,92,B+,Good Pursuance,548127
Hayley Prince,24,11,23,F,Failed,562003
Allen Bailey,50,51,61,C,Below Average Achivement,596024
Thomas Kelly,29,31,44,D,Poor Pursuance,539534
Leah Kim,47,42,87,C,Below Average Achivement,532699
Claudia Benton,36,23,78,D,Poor Pursuance,502097
Gary Andrade,34,84,33,D,Poor Pursuance,504054
Jose Rodriguez,26,22,27,F,Failed,561732
Keith Wilson,33,56,64,C,Below Average Achivement,561591
Jacqueline Chavez,17,95,17,D,Poor Pursuance,509468
Carolyn Cantrell,84,44,97,B+,Good Pursuance,547120
Aaron Price,24,60,47,D,Poor Pursuance,529782
Taylor Hoffman,44,85,35,C,Below Average Achivement,526940
Angel Smith,11,59,71,D,Poor Pursuance,500002
William Robertson,71,60,13,D,Poor Pursuance,530138
Anthony Galvan,61,19,23,D,Poor Pursuance,506757
Robert Jackson,38,17,49,D,Poor Pursuance,577806
Jennifer Black,80,88,96,A,Very Good Achivement,578078
Wayne Walker,26,86,20,D,Poor Pursuance,577851
Carmen House,83,45,47,C,Below Average Achivement,579228
Kathleen Salazar,75,62,34,C,Below Average Achivement,545504
Michael Ramirez,67,79,22,C,Below Average Achivement,534289
Michelle Clay,70,22,93,B,Average Performance,571313
Colleen Ramirez,73,99,51,B+,Good Pursuance,556127
Donna Jones,78,39,55,C,Below Average Achivement,581814
Cheryl Newman,95,16,99,B,Average Performance,595948
Melinda Molina,71,29,41,D,Poor Pursuance,501625
Michael Clark,70,76,76,B+,Good Pursuance,591226
Kelly Sawyer,34,88,36,C,Below Average Achivement,561006
Anthony Simmons,62,10,55,D,Poor Pursuance,599425
Lisa Andrews,90,56,35,C,Below Average Achivement,570029
Dr. Jacqueline Brown,33,71,87,B,Average Performance,562931
Dennis Norman,52,36,13,D,Poor Pursuance,569430
Samantha Garcia,94,17,49,C,Below Average Achivement,513981
Taylor Thompson,25,97,61,B,Average Performance,542346
Nathan Rodriguez,62,14,13,F,Failed,581565
Michelle Morton,42,86,92,B+,Good Pursuance,557363
Matthew King,79,100,48,B+,Good Pursuance,507423
Mr. Richard Hardy,88,70,89,A,Very Good Achivement,580822
Cynthia Hansen,50,77,69,B,Average Performance,561829
Dr. Brian Thompson II,55,77,25,C,Below Average Achivement,584525
Ashlee Hernandez,98,98,85,A+,Excellent Performance,545986
Alexander Reed,47,47,94,B,Average Performance,557369
Cynthia Freeman,20,61,61,D,Poor Pursuance,517341
Andrew Mitchell MD,17,53,26,F,Failed,589866
Jay Smith,54,80,83,B+,Good Pursuance,517918
Madison Lam,39,98,96,B+,Good Pursuance,550933
Katherine Castro,41,64,52,C,Below Average Achivement,561033
Roger Fernandez,27,98,14,D,Poor Pursuance,533635
Seth Dixon,92,67,48,B,Average Performance,563785
Christopher Baker,76,25,89,B,Average Performance,540135
Joseph Shaw,78,40,18,D,Poor Pursuance,563716
Kathleen Morris,46,31,68,D,Poor Pursuance,543837
Keith Long,81,31,63,C,Below Average Achivement,594048
Matthew Parker,41,37,83,C,Below Average Achivement,512653
Daniel Jones,26,97,72,B,Average Performance,519420
Shelby Lyons,73,17,66,C,Below Average Achivement,576070
Angela Kelly,48,93,13,C,Below Average Achivement,516250
Ann Gonzalez,33,22,56,D,Poor Pursuance,518167
Emma Mcclure,53,57,62,C,Below Average Achivement,534051
Robert Johnson,75,72,61,B,Average Performance,590610
Jamie Davies,51,56,46,C,Below Average Achivement,528425
Joshua Morris,83,65,60,B,Average Performance,542406
Jacob Wallace,88,50,100,B+,Good Pursuance,506948
John Baker,84,19,88,B,Average Performance,518937
Cynthia Erickson,15,42,70,D,Poor Pursuance,579055
Joshua Morgan,54,60,39,C,Below Average Achivement,517592
Erin Pineda,93,28,63,B,Average Performance,558800
Lindsey Dodson,66,11,53,D,Poor Pursuance,545053
Maria Andrews,100,89,71,A,Very Good Achivement,586783
Heather Weeks,20,78,70,C,Below Average Achivement,524276
Michael Clay,95,57,65,B+,Good Pursuance,597500
Eric Delgado,15,63,43,D,Poor Pursuance,518445
Richard Leonard,81,59,48,B,Average Performance,589830
Michael Payne,86,16,66,C,Below Average Achivement,543711
Jared Wall,10,36,28,F,Failed,556501
William Hutchinson,68,54,87,B,Average Performance,553398
Victoria Johnson,45,43,70,C,Below Average Achivement,535088
Laura Reed,61,56,39,C,Below Average Achivement,516972
Kevin Peterson,71,37,34,D,Poor Pursuance,522925
Jessica Dawson,81,79,10,C,Below Average Achivement,561259
Richard Edwards,61,13,90,C,Below Average Achivement,577124
Rachel Mcmahon,49,77,63,B,Average Performance,578309
Billy Mcmillan,38,94,66,B,Average Performance,580290
Lisa Williams,12,68,41,D,Poor Pursuance,506826
Luis West,46,11,64,D,Poor Pursuance,511272
Tiffany Johnson,64,44,47,C,Below Average Achivement,556476
Jacqueline Harvey,27,35,95,C,Below Average Achivement,560709
Susan Lopez,61,23,17,D,Poor Pursuance,571392
Veronica Reed,90,75,80,A,Very Good Achivement,559642
Sheila Suarez,62,93,53,B,Average Performance,579332
Lori Watson,77,99,51,B+,Good Pursuance,503397
Joshua Carrillo,33,11,36,F,Failed,598660
Douglas Sparks,80,17,82,C,Below Average Achivement,536560
Jacob Bush,54,13,59,D,Poor Pursuance,581686
Joan Henry PhD,82,62,46,B,Average Performance,590100
Joanna Coleman,87,14,15,D,Poor Pursuance,548359
Nathaniel Wright,90,67,100,A,Very Good Achivement,595743
David Mcguire,86,42,31,C,Below Average Achivement,587197
Derek Wright,78,70,44,B,Average Performance,538281
Pamela Harrison,10,38,97,D,Poor Pursuance,524207
Jody Morris,48,55,63,C,Below Average Achivement,554320
James Farrell,24,96,98,B+,Good Pursuance,560773
Alex Montes,62,35,16,D,Poor Pursuance,541641
Sarah Espinoza,99,23,34,C,Below Average Achivement,530725
Matthew Ochoa,44,28,15,F,Failed,542373
Alexander Nguyen,62,15,52,D,Poor Pursuance,582091
Frank Castillo,51,28,79,C,Below Average Achivement,574933
Andrea Jones DDS,76,37,59,C,Below Average Achivement,559380
Melissa Kane,40,93,16,D,Poor Pursuance,521609
John Hayes,24,55,49,D,Poor Pursuance,569314
Noah Kelley,39,94,87,B+,Good Pursuance,566496
Laura Whitehead,94,42,27,C,Below Average Achivement,513084
Elizabeth Henderson,79,69,34,C,Below Average Achivement,556321
Theodore Davis,46,19,33,F,Failed,535577
Leah Johnson,72,50,23,D,Poor Pursuance,500398
Sean Owens,84,45,95,B+,Good Pursuance,526326
George Russell Jr.,44,73,98,B+,Good Pursuance,529503
Bryan Stewart,14,21,77,D,Poor Pursuance,578431
Jennifer Galloway,25,36,80,D,Poor Pursuance,533034
John Jenkins,88,56,98,B+,Good Pursuance,513525
Shane Miller,78,45,40,C,Below Average Achivement,561050
Daniel Carlson,78,47,31,C,Below Average Achivement,528992
Tyler Taylor,40,72,100,B,Average Performance,582985
Cynthia Day,66,48,32,D,Poor Pursuance,565896
Adrian Wade,77,17,22,D,Poor Pursuance,548235
Mariah Cook,71,16,25,D,Poor Pursuance,502279
Roberto Murray,98,29,68,B,Average Performance,522979
Robin Wolf,55,90,34,C,Below Average Achivement,564304
Brian Hall,78,13,40,D,Poor Pursuance,500542
Mark Bell,78,18,13,D,Poor Pursuance,567759
Jeffrey Wilson,25,83,85,B,Average Performance,532945
Monique Davis,28,59,80,C,Below Average Achivement,510626
David Wilkinson,61,75,57,B,Average Performance,556488
Alvin Ward,80,78,36,B,Average Performance,501163
Mark Fowler,27,50,71,D,Poor Pursuance,575786
Jason Smith,20,77,66,C,Below Average Achivement,548217
Lisa Dillon,68,31,51,D,Poor Pursuance,525008
Katherine Perez,42,79,35,C,Below Average Achivement,576092
Jessica Cooper,96,34,96,B+,Good Pursuance,534192
Amanda Hood,62,41,57,C,Below Average Achivement,518126
Gloria Johnson,87,51,66,B,Average Performance,516922
Amanda Watkins,94,26,36,C,Below Average Achivement,512223
Brian Young,46,74,90,B,Average Performance,561112
Katherine Blackwell,93,79,85,A,Very Good Achivement,543810
Deborah Roth,84,14,76,C,Below Average Achivement,561513
Corey Gonzalez,42,85,100,B+,Good Pursuance,556688
Steven Haney,87,80,24,B,Average Performance,584859
Adam Rubio,28,27,85,D,Poor Pursuance,572001
John Sullivan,15,35,75,D,Poor Pursuance,561876
Kerry Smith,84,72,77,B+,Good Pursuance,585211
Jill Robinson,98,31,17,D,Poor Pursuance,590478
Albert Smith,41,31,15,F,Failed,533140
Nicholas Rodriguez,52,56,75,B,Average Performance,565276
Roy Houston,22,68,53,D,Poor Pursuance,520373
Margaret Dixon,81,15,91,B,Average Performance,555960
David Perez,28,58,100,B,Average Performance,556475
Mr. Nicholas Haynes MD,30,33,16,F,Failed,542464
Dr. Kevin Sweeney Jr.,55,52,38,D,Poor Pursuance,512703
Beverly Harper,77,100,16,B,Average Performance,579557
Shane Smith,55,47,64,C,Below Average Achivement,586114
Max Graham,33,72,80,B,Average Performance,544536
James Riley,63,65,68,B,Average Performance,546161
Garrett Simmons,32,25,60,D,Poor Pursuance,587767
Anthony Walker,76,51,63,B,Average Performance,523797
Amy Dillon,79,64,10,C,Below Average Achivement,583400
Jorge Dennis,79,67,72,B+,Good Pursuance,543498
Linda Jacobs,81,90,44,B+,Good Pursuance,569466
Glenn Jones,54,46,20,D,Poor Pursuance,576073
Travis Branch,14,67,86,C,Below Average Achivement,544109
Anthony Walters,70,32,28,D,Poor Pursuance,519064
Gabriela Watkins DDS,76,67,36,C,Below Average Achivement,518367
Stephanie Moore,33,51,69,C,Below Average Achivement,554298
Angela Johnson,39,69,60,C,Below Average Achivement,553975
Sarah Liu,38,58,45,D,Poor Pursuance,565753
Jason Edwards,43,28,32,D,Poor Pursuance,544491
Micheal Flowers,87,37,67,B,Average Performance,539039
Deanna Thomas,50,93,91,B+,Good Pursuance,512302
Leslie Wells,65,95,36,B,Average Performance,552566
Linda Harrington,31,55,24,D,Poor Pursuance,581022
Robert Peck,42,52,68,C,Below Average Achivement,551857
Maria Jenkins,15,17,32,F,Failed,573277
Cheryl Baker,67,59,36,C,Below Average Achivement,598450
Matthew Young,73,62,34,C,Below Average Achivement,527205
Melissa Le,70,70,94,B+,Good Pursuance,500928
Anthony Lewis,76,50,98,B+,Good Pursuance,526691
Heidi Sanders,17,100,11,D,Poor Pursuance,577475
Lauren Sanchez,83,44,66,B,Average Performance,583690
Cynthia Solomon,43,63,42,D,Poor Pursuance,506024
Mark West,93,62,10,C,Below Average Achivement,579455
Alvin Cole,53,50,69,C,Below Average Achivement,587146
Joshua Perez,89,83,18,B,Average Performance,538482
Sarah Walton,100,37,14,D,Poor Pursuance,504732
Tricia Price,65,100,44,B,Average Performance,559490
Craig Smith,86,57,62,B,Average Performance,559994
Susan Adams,82,23,17,D,Poor Pursuance,514558
Joseph Rodgers,61,44,65,C,Below Average Achivement,583618
Miguel Thomas,52,51,100,B,Average Performance,572566
Scott Cameron,100,32,87,B+,Good Pursuance,572074
Kenneth Williams,53,45,46,D,Poor Pursuance,528284
Dale Harrington,100,81,99,A+,Excellent Performance,515271
Brooke Kelly,97,65,62,B+,Good Pursuance,586224
Omar Carpenter,82,89,71,B+,Good Pursuance,506181
Ana Harding,26,22,64,D,Poor Pursuance,524306
Tammy Hunt,51,49,16,D,Poor Pursuance,566476
Raymond Morales,35,68,32,D,Poor Pursuance,597037
Meghan Lee,22,35,76,D,Poor Pursuance,524179
Samuel Pearson,61,66,57,B,Average Performance,594900
Crystal Jenkins,34,19,54,D,Poor Pursuance,585723
Karina Williams,23,26,36,F,Failed,536668
Lauren Whitehead,23,71,59,C,Below Average Achivement,574343
Marc Good,53,75,81,B,Average Performance,580787
Sherri Raymond,34,55,71,C,Below Average Achivement,550931
Isabel Brown,55,47,35,D,Poor Pursuance,577220
Charles Davidson,32,59,74,C,Below Average Achivement,528273
Bryan Mcdaniel,30,35,80,D,Poor Pursuance,599642
Sheila Wiggins,57,21,34,D,Poor Pursuance,509753
Kenneth Crane,20,73,25,D,Poor Pursuance,520292
Ian Powell,76,61,22,C,Below Average Achivement,531429
Travis Brown,85,91,87,A,Very Good Achivement,572535
Daniel Ortega Jr.,68,25,29,D,Poor Pursuance,523255
Curtis Baker,97,78,52,B+,Good Pursuance,567795
